               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,             0.01844,            0.013671,           0.0030037,             0.86323,             0.76992,             0.84729,             0.70124,            0.019548,             0.01823,           0.0064223,            0.004951,            0.004951,            0.004951
                  53,            0.018607,            0.013416,           0.0030479,             0.85617,             0.77535,             0.85029,             0.70191,            0.019629,            0.018214,           0.0065639,            0.004852,            0.004852,            0.004852
                  54,            0.018621,            0.013732,           0.0030743,             0.85808,             0.78151,             0.85469,             0.71139,            0.019509,            0.018449,            0.006213,            0.004753,            0.004753,            0.004753
                  55,            0.018175,            0.013498,           0.0029276,             0.82984,             0.79248,             0.84822,             0.70302,             0.01954,            0.017952,            0.006348,            0.004654,            0.004654,            0.004654
                  56,            0.018335,            0.013241,            0.003065,             0.83813,             0.79408,             0.85019,              0.7048,            0.019603,            0.018481,           0.0065554,            0.004555,            0.004555,            0.004555
                  57,            0.018194,            0.013115,           0.0030574,             0.86135,             0.76134,             0.84227,             0.70361,            0.019495,            0.018875,           0.0061161,            0.004456,            0.004456,            0.004456
                  58,            0.017975,            0.012956,           0.0028876,              0.8359,             0.78058,             0.84563,             0.70138,            0.019496,            0.018836,           0.0065362,            0.004357,            0.004357,            0.004357
                  59,            0.017887,            0.012958,           0.0028567,             0.86481,             0.77442,             0.85213,              0.7094,            0.019511,            0.018764,           0.0064133,            0.004258,            0.004258,            0.004258
                  60,            0.017612,             0.01297,           0.0027668,             0.84345,             0.78874,             0.85762,              0.7127,            0.019247,            0.018248,           0.0063106,            0.004159,            0.004159,            0.004159
                  61,            0.017606,            0.012779,           0.0028602,             0.84622,             0.78115,             0.85138,             0.70803,            0.019454,            0.018651,           0.0062266,             0.00406,             0.00406,             0.00406
                  62,             0.01737,            0.012636,           0.0024554,              0.8431,             0.79323,             0.84654,             0.70584,            0.019504,            0.019262,           0.0059898,            0.003961,            0.003961,            0.003961
                  63,            0.017455,            0.012676,           0.0026546,             0.85827,             0.79053,             0.85636,             0.71236,            0.019387,            0.018616,           0.0061228,            0.003862,            0.003862,            0.003862
                  64,            0.016885,            0.012466,           0.0023798,             0.84271,             0.78618,             0.84734,             0.70484,            0.019491,             0.01911,           0.0062138,            0.003763,            0.003763,            0.003763
                  65,             0.01686,            0.012337,           0.0024603,             0.84415,             0.78404,             0.84996,             0.70829,            0.019473,            0.019163,           0.0060084,            0.003664,            0.003664,            0.003664
                  66,            0.016815,             0.01257,           0.0023938,             0.86036,             0.77225,             0.85261,             0.70966,            0.019529,            0.019088,           0.0063475,            0.003565,            0.003565,            0.003565
                  67,             0.01668,            0.012284,           0.0025701,             0.84925,             0.78064,             0.85158,             0.70958,            0.019517,            0.019035,           0.0060643,            0.003466,            0.003466,            0.003466
                  68,            0.016479,            0.012049,           0.0024232,             0.83854,             0.78527,             0.84938,             0.70938,            0.019419,            0.019123,           0.0063946,            0.003367,            0.003367,            0.003367
                  69,             0.01663,            0.012153,           0.0024172,             0.86108,             0.77421,             0.84712,             0.70797,              0.0194,            0.019454,            0.006378,            0.003268,            0.003268,            0.003268
                  70,            0.016261,            0.012137,           0.0022905,             0.83815,             0.79617,             0.85298,              0.7149,            0.019264,            0.019278,           0.0062235,            0.003169,            0.003169,            0.003169
                  71,            0.016193,            0.011707,           0.0024384,             0.85993,             0.78909,               0.853,             0.71416,            0.019227,            0.019046,           0.0061712,             0.00307,             0.00307,             0.00307
                  72,            0.016414,            0.012012,           0.0023214,             0.84102,             0.78473,             0.84425,             0.70835,            0.019402,            0.019329,           0.0065389,            0.002971,            0.002971,            0.002971
                  73,            0.016057,            0.011654,           0.0022036,             0.85137,             0.78543,             0.84846,             0.71169,            0.019218,            0.019302,           0.0063606,            0.002872,            0.002872,            0.002872
                  74,            0.016113,             0.01159,           0.0022809,              0.8511,             0.78297,             0.84575,             0.70915,             0.01927,            0.019645,           0.0063056,            0.002773,            0.002773,            0.002773
                  75,            0.015627,            0.011224,            0.002306,             0.83315,             0.79367,             0.84626,             0.70809,            0.019303,            0.019718,           0.0062884,            0.002674,            0.002674,            0.002674
                  76,            0.015817,            0.011429,           0.0023618,             0.84851,             0.78469,             0.84356,             0.70926,            0.019474,             0.02033,           0.0064898,            0.002575,            0.002575,            0.002575
                  77,             0.01557,            0.011426,           0.0022145,              0.8525,             0.80239,             0.85541,             0.71575,            0.019198,            0.019311,           0.0062011,            0.002476,            0.002476,            0.002476
                  78,            0.015283,            0.010991,           0.0021703,             0.86423,             0.78485,             0.85512,             0.71985,            0.019278,            0.019777,           0.0063071,            0.002377,            0.002377,            0.002377
                  79,            0.015336,             0.01096,           0.0019921,             0.84179,             0.79438,             0.84888,             0.71248,            0.019327,            0.019999,           0.0062988,            0.002278,            0.002278,            0.002278
                  80,            0.015327,            0.011237,           0.0020275,             0.85527,             0.77681,             0.84666,             0.70965,            0.019296,            0.019988,           0.0061764,            0.002179,            0.002179,            0.002179
                  81,            0.015155,            0.010981,           0.0021746,             0.85183,             0.78155,             0.84768,             0.71131,            0.019248,             0.01987,           0.0061916,             0.00208,             0.00208,             0.00208
                  82,            0.014962,            0.010762,            0.002088,             0.85131,             0.79364,             0.84667,             0.71491,            0.019187,            0.020025,           0.0061734,            0.001981,            0.001981,            0.001981
                  83,            0.015008,            0.010742,           0.0019637,             0.82758,             0.80564,              0.8489,             0.71485,            0.019194,            0.019811,           0.0061715,            0.001882,            0.001882,            0.001882
                  84,            0.014777,            0.010863,           0.0019289,             0.85375,             0.79336,             0.84871,             0.71745,            0.019088,            0.019738,           0.0063308,            0.001783,            0.001783,            0.001783
                  85,            0.015048,             0.01076,           0.0020252,             0.84258,             0.79562,             0.84568,             0.71525,            0.019219,            0.020017,           0.0062075,            0.001684,            0.001684,            0.001684
                  86,            0.014496,            0.010584,           0.0018333,             0.85263,             0.79233,             0.84723,             0.71503,            0.019372,            0.020511,           0.0062917,            0.001585,            0.001585,            0.001585
                  87,            0.014599,            0.010713,           0.0019521,             0.84664,             0.79612,             0.85318,             0.71867,            0.019199,            0.020064,           0.0062148,            0.001486,            0.001486,            0.001486
                  88,             0.01438,            0.010173,           0.0019622,             0.87063,             0.77657,             0.85052,              0.7185,            0.019227,            0.020221,           0.0062929,            0.001387,            0.001387,            0.001387
                  89,            0.014386,            0.010265,           0.0019567,              0.8388,             0.79925,             0.84598,             0.71336,            0.019352,            0.020874,             0.00625,            0.001288,            0.001288,            0.001288
